INDEX,TRIP,DIR,VALID,UTC DATE,UTC TIME,LOCAL DATE,LOCAL TIME,HOUR,MIN,SEC,MS,LATITUDE,N/S,LONGITUDE,E/W,ALTITUDE,SPEED,HEADING,G-X,G-Y,G-Z
1,1,N,SPS,10/25/2010,10:21:25,10/25/2010,5:21:25,6,21,25,0,41.392919,N,73.954107,W,147.411774,25.62009,24.570396,0,0,0
2,1,N,SPS,10/25/2010,10:21:30,10/25/2010,5:21:30,6,21,30,0,41.393422,N,73.953801,W,167.497726,35.650085,35.878629,0,0,0
3,1,N,SPS,10/25/2010,10:21:35,10/25/2010,5:21:35,6,21,35,0,41.393778,N,73.953457,W,167.704071,33.304459,35.854417,0,0,0
4,1,N,SPS,10/25/2010,10:21:40,10/25/2010,5:21:40,6,21,40,0,41.394118,N,73.95313,W,166.618347,31.859472,33.18512,0,0,0
5,1,N,SPS,10/25/2010,10:21:45,10/25/2010,5:21:45,6,21,45,0,41.394451,N,73.952839,W,166.35202,29.267746,27.067147,0,0,0
6,1,N,SPS,10/25/2010,10:21:50,10/25/2010,5:21:50,6,21,50,0,41.394751,N,73.952635,W,165.949646,24.767963,10.73828,0,0,0
7,1,N,SPS,10/25/2010,10:21:55,10/25/2010,5:21:55,6,21,55,0,41.395105,N,73.952546,W,166.363464,30.154051,356.922317,0,0,0
8,1,N,SPS,10/25/2010,10:22:00,10/25/2010,5:22:00,6,22,0,0,41.39548,N,73.952573,W,166.345673,32.513374,343.904682,0,0,0
9,1,N,SPS,10/25/2010,10:22:05,10/25/2010,5:22:05,6,22,5,0,41.395905,N,73.952736,W,167.980682,35.692356,260.879051,0,0,0
10,1,N,SPS,10/25/2010,10:22:43,10/25/2010,5:22:43,6,22,43,0,41.395361,N,73.957247,W,166.700104,39.170284,245.425673,0,0,0
11,1,N,SPS,10/25/2010,10:22:48,10/25/2010,5:22:48,6,22,48,0,41.395149,N,73.957865,W,166.531555,38.618649,255.622947,0,0,0
12,1,N,SPS,10/25/2010,10:22:53,10/25/2010,5:22:53,6,22,53,0,41.395044,N,73.95841,W,166.393646,27.975214,286.614369,0,0,0
13,1,N,SPS,10/25/2010,10:22:58,10/25/2010,5:22:58,6,22,58,0,41.395128,N,73.958783,W,166.135239,12.988703,313.888055,0,0,0
14,1,N,SPS,10/25/2010,10:23:03,10/25/2010,5:23:03,6,23,3,0,41.395204,N,73.958889,W,165.320175,15.734641,16.296978,0,0,0
15,1,N,SPS,10/25/2010,10:23:08,10/25/2010,5:23:08,6,23,8,0,41.395474,N,73.958784,W,164.912491,27.294212,354.074376,0,0,0
16,1,N,SPS,10/25/2010,10:23:13,10/25/2010,5:23:13,6,23,13,0,41.395794,N,73.958828,W,164.31958,26.720909,292.250861,0,0,0
17,1,N,SPS,10/25/2010,10:23:18,10/25/2010,5:23:18,6,23,18,0,41.39592,N,73.959239,W,162.67366,30.261112,277.480911,0,0,0
18,1,N,SPS,10/25/2010,10:23:23,10/25/2010,5:23:23,6,23,23,0,41.395974,N,73.959787,W,161.475311,33.333855,279.871231,0,0,0
19,1,N,SPS,10/25/2010,10:23:28,10/25/2010,5:23:28,6,23,28,0,41.39604,N,73.960292,W,159.750275,28.798443,284.975907,0,0,0
20,1,N,SPS,10/25/2010,10:23:33,10/25/2010,5:23:33,6,23,33,0,41.39613,N,73.96074,W,157.349197,28.328259,289.167708,0,0,0
21,1,N,SPS,10/25/2010,10:23:38,10/25/2010,5:23:38,6,23,38,0,41.396255,N,73.96122,W,155.686264,32.598602,287.730114,0,0,0
22,1,N,SPS,10/25/2010,10:23:43,10/25/2010,5:23:43,6,23,43,0,41.396375,N,73.961718,W,154.410828,26.866879,287.364806,0,0,0
23,1,N,SPS,10/25/2010,10:23:48,10/25/2010,5:23:48,6,23,48,0,41.396469,N,73.96212,W,153.180023,21.234825,316.372865,0,0,0
24,1,N,SPS,10/25/2010,10:23:53,10/25/2010,5:23:53,6,23,53,0,41.396626,N,73.962319,W,150.803314,16.026131,271.910654,0,0,0
25,1,N,SPS,10/25/2010,10:23:58,10/25/2010,5:23:58,6,23,58,0,41.396634,N,73.962662,W,149.791412,29.535702,276.208948,0,0,0
26,1,N,SPS,10/25/2010,10:24:03,10/25/2010,5:24:03,6,24,3,0,41.396675,N,73.963159,W,148.650864,33.364876,272.267715,0,0,0
27,1,N,SPS,10/25/2010,10:24:08,10/25/2010,5:24:08,6,24,8,0,41.396692,N,73.963745,W,148.860092,33.887932,275.367226,0,0,0
28,1,N,SPS,10/25/2010,10:24:13,10/25/2010,5:24:13,6,24,13,0,41.396733,N,73.964324,W,149.778992,34.471687,279.489523,0,0,0
29,1,N,SPS,10/25/2010,10:24:18,10/25/2010,5:24:18,6,24,18,0,41.396804,N,73.964891,W,151.794373,33.915298,305.547327,0,0,0
30,1,N,SPS,10/25/2010,10:24:23,10/25/2010,5:24:23,6,24,23,0,41.397058,N,73.965364,W,153.812119,34.374577,329.013023,0,0,0
31,1,N,SPS,10/25/2010,10:24:28,10/25/2010,5:24:28,6,24,28,0,41.39739,N,73.96563,W,155.501694,27.23592,334.27214,0,0,0
32,1,N,SPS,10/25/2010,10:24:33,10/25/2010,5:24:33,6,24,33,0,41.397718,N,73.965841,W,157.148956,28.323126,329.873508,0,0,0
33,1,N,SPS,10/25/2010,10:24:38,10/25/2010,5:24:38,6,24,38,0,41.397994,N,73.966054,W,157.979095,12.316826,311.49996,0,0,0
34,1,N,SPS,10/25/2010,10:24:43,10/25/2010,5:24:43,6,24,43,0,41.398083,N,73.966189,W,159.099487,11.181767,300.54445,0,0,0
35,1,N,SPS,10/25/2010,10:24:48,10/25/2010,5:24:48,6,24,48,0,41.398121,N,73.966274,W,159.90947,0.531096,293.160037,0,0,0
36,1,N,SPS,10/25/2010,10:24:53,10/25/2010,5:24:53,6,24,53,0,41.398161,N,73.966398,W,160.638779,19.546741,300.733291,0,0,0
37,1,N,SPS,10/25/2010,10:24:58,10/25/2010,5:24:58,6,24,58,0,41.398343,N,73.966807,W,161.69191,32.103638,319.452726,0,0,0
38,1,N,SPS,10/25/2010,10:25:03,10/25/2010,5:25:03,6,25,3,0,41.39868,N,73.967192,W,162.324692,36.028961,327.148922,0,0,0
39,1,N,SPS,10/25/2010,10:25:08,10/25/2010,5:25:08,6,25,8,0,41.399079,N,73.967535,W,161.504974,34.50441,321.00451,0,0,0
40,1,N,SPS,10/25/2010,10:25:13,10/25/2010,5:25:13,6,25,13,0,41.399408,N,73.96789,W,162.094421,32.781734,313.441426,0,0,0
41,1,N,SPS,10/25/2010,10:25:18,10/25/2010,5:25:18,6,25,18,0,41.399686,N,73.968282,W,162.641541,33.845039,290.547766,0,0,0
42,1,N,SPS,10/25/2010,10:25:23,10/25/2010,5:25:23,6,25,23,0,41.399815,N,73.96874,W,163.835892,23.973495,297.381174,0,0,0
43,1,N,SPS,10/25/2010,10:25:28,10/25/2010,5:25:28,6,25,28,0,41.399934,N,73.969045,W,164.076462,17.18071,354.80287,0,0,0
44,1,N,SPS,10/25/2010,10:25:33,10/25/2010,5:25:33,6,25,33,0,41.400123,N,73.969068,W,164.398193,22.470779,35.852561,0,0,0
45,1,N,SPS,10/25/2010,10:25:38,10/25/2010,5:25:38,6,25,38,0,41.400376,N,73.968824,W,165.301056,24.477507,25.103454,0,0,0
46,1,N,SPS,10/25/2010,10:25:43,10/25/2010,5:25:43,6,25,43,0,41.400632,N,73.968664,W,164.493362,21.141943,59.711315,0,0,0
47,1,N,SPS,10/25/2010,10:25:48,10/25/2010,5:25:48,6,25,48,0,41.400802,N,73.968276,W,164.473282,28.561646,62.173752,0,0,0
48,1,N,SPS,10/25/2010,10:25:53,10/25/2010,5:25:53,6,25,53,0,41.40095,N,73.967902,W,165.39238,21.68915,12.585463,0,0,0
49,1,N,SPS,10/25/2010,10:25:58,10/25/2010,5:25:58,6,25,58,0,41.401199,N,73.967828,W,165.404968,25.687439,335.690092,0,0,0
